Group	RefSeq	GeneSymbol
Glycosyltransferase	NM_028094	UGT2A3
Glycosyltransferase	NM_133894	UGT2B38
Glycosyltransferase	NM_009467	UGT2B5
Glycosyltransferase	NM_011674	UGT8A
Glycosyltransferase	NM_013701	UGT1A2
Glycosyltransferase	NM_201643	UGT1A5
Glycosyltransferase	NM_145079	UGT1A6A
Glycosyltransferase	NM_201410	UGT1A6B
Glycosyltransferase	NM_201644	UGT1A9
Glycosyltransferase	NM_201641	UGT1A10
Glycosyltransferase	NM_201645	UGT1A1
Glycosyltransferase	NM_053184	UGT2A1
Glycosyltransferase	NM_152811	UGT2B1
Glycosyltransferase	NM_153598	UGT2B34
Glycosyltransferase	NM_053215	UGT2B37
Glycosyltransferase	NM_144845	UGT3A2
Glycosyltransferase	NM_207216	UGT3A1
Glycosyltransferase	NM_024178	ALG14
Glycosyltransferase	NM_201642	UGT1A7C
Glycosyltransferase	NM_172881	UGT2B35
Glycosyltransferase	NM_177130	GLT28D2
Glycosyltransferase	NM_026247	GLT28D1
Glycosyltransferase	NM_001024148	UGT2A2
Glycosyltransferase	NM_001029867	UGT2B36
Glycosyltransferase	NM_025442	ALG5
Glycosyltransferase	NM_178664	B3GNTL1
Glycosyltransferase	NM_010072	DPM1
Glycosyltransferase	NM_008215	HAS 1
Glycosyltransferase	NM_008216	HAS 2
Glycosyltransferase	NM_008217	HAS 3
Glycosyltransferase	NM_030678	GYS 1
Glycosyltransferase	NM_145572	GYS 2
Glycosyltransferase	NM_019998	ALG 2
Glycosyltransferase	NM_183142	ALG 11
Glycosyltransferase	NM_011081	PIGA
Glycosyltransferase	NM_172662	GTDC1
Glycosyltransferase	NM_010283	GGTA1
Glycosyltransferase	NM_030718	ABO
Glycosyltransferase	NM_139197	GBGT 1
Glycosyltransferase	XM_130220	4930568D16RIK
Glycosyltransferase	NM_001009819	A3GALT2
Glycosyltransferase	NM_001039095	GLT6D1
Glycosyltransferase	NM_172753	CHGN1
Glycosyltransferase	NM_022305	B4GALT1
Glycosyltransferase	NM_017377	B4GALT2
Glycosyltransferase	NM_020579	B4GALT3
Glycosyltransferase	NM_019804	B4GALT4
Glycosyltransferase	NM_019835	B4GALT5
Glycosyltransferase	NM_019737	B4GALT6
Glycosyltransferase	NM_146045	B4GALT7
Glycosyltransferase	NM_177897	B4GALNT4
Glycosyltransferase	NM_198884	B4GALNT3
Glycosyltransferase	NM_001081163	CHSY1
Glycosyltransferase	NM_001001565	CHSY2
Glycosyltransferase	NM_030165	GALNACT2
Glycosyltransferase	NM_133913	CSGLCAT
Glycosyltransferase	NM_029626	GLT8D1
Glycosyltransferase	NM_013755	GYG
Glycosyltransferase	NM_198626	AI480653
Glycosyltransferase	NM_010687	LARGE
Glycosyltransferase	NM_029102	GLT8D2
Glycosyltransferase	NM_172670	GYLTL1B
Glycosyltransferase	NM_198612	BC049816
Glycosyltransferase	NM_028428	FUT11
Glycosyltransferase	NM_010242	FUT4
Glycosyltransferase	NM_013524	FUT7
Glycosyltransferase	NM_010243	FUT9
Glycosyltransferase	NM_134161	FUT10
Glycosyltransferase	NM_008051	FUT1
Glycosyltransferase	NM_018876	FUT2
Glycosyltransferase	NM_019934	SEC1
Glycosyltransferase	NM_008081	B4GALNT2
Glycosyltransferase	NM_008080	B4GALNT1
Glycosyltransferase	NM_010794	MGAT1
Glycosyltransferase	NM_029786	POMGNT1
Glycosyltransferase	NM_008105	GCNT2
Glycosyltransferase	NM_173442	GCNT1
Glycosyltransferase	NM_028087	GCNT3
Glycosyltransferase	NM_145828	XYLT2
Glycosyltransferase	NM_175645	XYLT1
Glycosyltransferase	NM_001039560	GCNT7
Glycosyltransferase	NM_025542	2410001C21RIK
Glycosyltransferase	XM_975059	GM73
Glycosyltransferase	NM_146035	MGAT2
Glycosyltransferase	NM_010795	MGAT3
Glycosyltransferase	NM_172948	MGAT5B
Glycosyltransferase	NM_145128	MGAT5
Glycosyltransferase	NM_011673	UGCG
Glycosyltransferase	NM_145477	ALG12
Glycosyltransferase	NM_133981	ALG9
Glycosyltransferase	NM_018889	PIGB
Glycosyltransferase	NM_172822	PIGZ
Glycosyltransferase	NM_016893	FUT8
Glycosyltransferase	NM_198899	UGCGL1
Glycosyltransferase	XM_619288	UGCGL2
Glycosyltransferase	NM_146211	GLT25D1
Glycosyltransferase	NM_177756	GLT25D2
Glycosyltransferase	NM_207298	CEECAM1
Glycosyltransferase	NM_026449	GALNTL5
Glycosyltransferase	NM_144731	GALNT7
Glycosyltransferase	NM_134189	GALNT10
Glycosyltransferase	NM_173739	GALNTL4
Glycosyltransferase	NM_015736	GALNT3
Glycosyltransferase	NM_015737	GALNT4
Glycosyltransferase	NM_172451	GALNT6
Glycosyltransferase	NM_139272	GALNT2
Glycosyltransferase	NM_172855	GALNT5
Glycosyltransferase	NM_013814	GALNT1
Glycosyltransferase	NM_173030	GALNT13
Glycosyltransferase	NM_172693	GALNT12
Glycosyltransferase	NM_027864	GALNT14
Glycosyltransferase	NM_030166	GALNTL2
Glycosyltransferase	NM_198306	GALNT9
Glycosyltransferase	NM_144908	GALNT11
Glycosyltransferase	NM_175032	4930431L04RIK
Glycosyltransferase	NM_145218	WBSCR17
Glycosyltransferase	NM_009177	ST3GAL1
Glycosyltransferase	NM_178048	ST3GAL2
Glycosyltransferase	NM_009176	ST3GAL3
Glycosyltransferase	NM_009178	ST3GAL4
Glycosyltransferase	NM_018784	ST3GAL6
Glycosyltransferase	NM_009180	ST6GALNAC2
Glycosyltransferase	NM_145933	ST6GAL1
Glycosyltransferase	NM_172829	ST6GAL2
Glycosyltransferase	NM_011371	ST6GALNAC1
Glycosyltransferase	NM_011372	ST6GALNAC3
Glycosyltransferase	NM_011373	ST6GALNAC4
Glycosyltransferase	NM_011374	ST8SIA1
Glycosyltransferase	NM_145838	ST8SIA6
Glycosyltransferase	NM_009181	ST8SIA2, STX
Glycosyltransferase	NM_009183	ST8SIA4, PST
Glycosyltransferase	NM_153124	ST8SIA5
Glycosyltransferase	NM_009182	ST8SIA3
Glycosyltransferase	NM_012028	ST6GALNAC5
Glycosyltransferase	NM_011375	ST3GAL5
Glycosyltransferase	NM_016973	ST6GALNAC6
Glycosyltransferase	NM_178879	C76566
Glycosyltransferase	NM_028189	B3GNT3
Glycosyltransferase	NM_198611	B3GNT4
Glycosyltransferase	NM_052993	C1GALT1
Glycosyltransferase	NM_033149	B3GALT5
Glycosyltransferase	NM_020283	B3GALT1
Glycosyltransferase	NM_020025	B3GALT2
Glycosyltransferase	NM_020026	B3GALT3
Glycosyltransferase	NM_019420	B3GALT4
Glycosyltransferase	NM_008494	LFNG
Glycosyltransferase	NM_008595	MFNG
Glycosyltransferase	NM_009053	RFNG
Glycosyltransferase	NM_080445	B3GALT6
Glycosyltransferase	NM_054052	B3GNT5
Glycosyltransferase	NM_178640	B3GALNT2
Glycosyltransferase	NM_016888	B3GNT2
Glycosyltransferase	NM_145222	B3GNT7
Glycosyltransferase	NM_021550	C1GALT1C1
Glycosyltransferase	NM_146184	B3GNT8
Glycosyltransferase	NM_001081167	B3GNT6
Glycosyltransferase	NM_001081328	CSS3(CHSY3)
Glycosyltransferase	NM_001081204	B3GALTL
Glycosyltransferase	NM_001077424	A4GNT
Glycosyltransferase	NM_001004150	A4GALT
Glycosyltransferase	NM_145362	ALG1
Glycosyltransferase	NM_133198	PYGL
Glycosyltransferase	NM_011224	PYGM
Glycosyltransferase	NM_153781	PYGB
Glycosyltransferase	NM_145145	POMT1
Glycosyltransferase	NM_153415	POMT2
Glycosyltransferase	NM_139144	OGT
Glycosyltransferase	NM_024256	B3GAT3
Glycosyltransferase	NM_029792	B3GAT1
Glycosyltransferase	NM_172124	B3GAT2
Glycosyltransferase	NM_010162	EXT1
Glycosyltransferase	NM_010163	EXT2
Glycosyltransferase	NM_019578	EXTL1
Glycosyltransferase	NM_018788	EXTL3
Glycosyltransferase	NM_175383	B3GNT1
Glycosyltransferase	NM_026234	PIGM
Glycosyltransferase	NM_173771	4933406M09RIK
Glycosyltransferase	NM_026243	MGAT4C
Glycosyltransferase	NM_173870	MGAT4A
Glycosyltransferase	NM_145926	MGAT4B
Glycosyltransferase	NM_026233	MGAT6
Glycosyltransferase	XR_033559	4931440L10RIK
Glycosyltransferase	NM_013565	ITGA3
Glycosyltransferase	NM_178784	ALG6
Glycosyltransferase	NM_199035	ALG8
Glycosyltransferase	NM_145939	ALG3
Glycosyltransferase	NM_001033441	ALG10B
Glycosyltransferase	NM_175313	A130022J15RIK
Glycosyltransferase	NM_153540	C85492
Glycosyltransferase	NM_021388	EXTL2
Glycosyltransferase	NM_080463	POFUT1
Glycosyltransferase	NM_024222	STT3B
Glycosyltransferase	NM_008408	STT3A
Glycosyltransferase	NM_030262	POFUT2
Glycosyltransferase	NM_178698	PIGV
Glycosylhydrolase	NM_031180	KLB
Glycosylhydrolase	NM_013823	KL
Glycosylhydrolase	XM_129479	LCT
Glycosylhydrolase	NM_145835	LCTL
Glycosylhydrolase	NM_010368	GUSB
Glycosylhydrolase	NM_027288	MANBA
Glycosylhydrolase	NM_007446	AMY1
Glycosylhydrolase	NM_009669	AMY2
Glycosylhydrolase	NM_008577	SLC3A2
Glycosylhydrolase	NM_009205	SLC3A1
Glycosylhydrolase	NM_028803	GBE1
Glycosylhydrolase	NM_001081326	AGL
Glycosylhydrolase	NM_023186	CHIA
Glycosylhydrolase	NM_170594	BCLP2
