SAMPLE;FILES;GROUP
CAC1;GSM1060676_CLE001_CAC_biol_repl1.CEL.gz;colorectal_tumor_colitis_associated
CAC2;GSM1060677_CLE002_CAC_biol_repl2.CEL.gz;colorectal_tumor_colitis_associated
CAC Control 1;GSM1060678_CLE003_CAC_IECcontr_biol_repl1.CEL.gz;colorectal_control_epithelium_colitis_associated
CAC Control 2;GSM1060679_CLE004_CAC_IECcontr_biol_repl2.CEL.gz;colorectal_control_epithelium_colitis_associated
CAC3;GSM1060680_CLE005_CAC_biol_repl3.CEL.gz;colorectal_tumor_colitis_associated
CAC4;GSM1060681_CLE006_CAC_biol_repl4.CEL.gz;colorectal_tumor_colitis_associated
sporCRC1;GSM1060682_CLE007_sporCRC_biol_repl1.CEL.gz;colorectal_tumor_sporadic
sporCRC Control 1;GSM1060683_CLE008_sporCRC_IECcontr_biol_repl1.CEL.gz;colorectal_control_epithelium_sporadic
sporCRC2;GSM1060684_CLE009_sporCRC_biol_repl2.CEL.gz;colorectal_tumor_sporadic
sporCRC3;GSM1060685_CLE010_sporCRC_biol_repl3.CEL.gz;colorectal_tumor_sporadic
sporCRC Control 2;GSM1060686_CLE011_sporCRC_IECcontr_biol_repl2.CEL.gz;colorectal_control_epithelium_sporadic
sporCRC Control 3;GSM1060687_CLE012_sporCRC_IECcontr_biol_repl3.CEL.gz;colorectal_control_epithelium_sporadic
sporCRC4;GSM1060688_CLE013_sporCRC_biol_repl4.CEL.gz;colorectal_tumor_sporadic
sporCRC5;GSM1060689_CLE014_sporCRC_biol_repl5.CEL.gz;colorectal_tumor_sporadic
