"","B Cells","CD4 T Cells","CD8 T Cells","Dendritic Cells","Eosinophils","Macrophages","Mast Cells","Monocytes","Neutrophils","NK Cells"
"SRR1283812.txt",11.5043,46.333,0,8.1058,5.6832,0,5.2062,23.1675,0,0
"SRR1283813.txt",0,44.82,0,0,0,0,0,55.18,0,0
"SRR1283814.txt",14.8975,0,30.6791,20.6107,0,2.0367,4.6888,25.5959,0,1.4914
"SRR1283815.txt",35.0578,28.0491,16.9398,5.927,0.4607,0.4304,2.6353,6.7934,0,3.7064
"SRR1283816.txt",28.3141,0,29.1077,15.1866,0,16.3706,3.7989,2.0349,0,5.1872
"SRR1283817.txt",19.336,43.8273,0,2.8934,0.8811,0,2.3788,27.5788,0.6998,2.4048
"SRR1283818.txt",30.5968,0,49.0755,0,0,10.4316,5.8661,0,2.4198,1.6103
"SRR1283819.txt",17.9565,31.7839,0,4.2584,0.886,1.6664,11.8942,25.8139,4.3701,1.3705
"SRR1283820.txt",0,14.3804,12.2422,11.8968,0,54.9013,3.6713,0,0,2.908
"SRR1283821.txt",3.8955,0,0,12.2157,14.3341,29.7412,2.7899,37.0236,0,0
