ENSENMBL_GENE_ID	SRR1283812.txt	SRR1283813.txt	SRR1283814.txt	SRR1283815.txt	SRR1283816.txt	SRR1283817.txt	SRR1283818.txt	SRR1283819.txt	SRR1283820.txt	SRR1283821.txt
ENSMUSG00000000001	110	74	95	173	72	78	169	105	176	165
ENSMUSG00000000003	3	0	0	0	0	0	0	0	1	0
ENSMUSG00000000028	9	10	12	10	8	6	12	6	15	16
ENSMUSG00000000031	0	0	0	1	0	1	1	3	5	39
ENSMUSG00000000037	2	2	2	1	1	1	1	1	1	1
ENSMUSG00000000049	2	1	2	2	1	1	3	1	2	2
ENSMUSG00000000056	48	39	47	48	27	24	39	34	43	47
ENSMUSG00000000058	5	4	2	11	4	5	13	7	8	12
ENSMUSG00000000078	144	130	110	311	153	131	253	201	281	266
ENSMUSG00000000085	39	42	40	45	32	31	57	40	58	58
ENSMUSG00000000088	293	272	320	267	227	223	285	304	241	290
ENSMUSG00000000093	2	1	1	1	1	1	1	2	1	1
ENSMUSG00000000094	0	0	0	0	0	0	0	1	1	1
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	1	1	0	1	0	0	0	1	1	1
ENSMUSG00000000125	1	1	0	1	0	0	1	1	5	2
ENSMUSG00000000126	1	1	1	1	0	0	1	1	1	1
ENSMUSG00000000127	8	4	6	13	5	6	12	8	13	15
ENSMUSG00000000131	55	60	64	86	51	47	72	51	80	78
ENSMUSG00000000134	22	21	22	37	18	23	31	27	38	33
ENSMUSG00000000142	35	28	37	37	20	18	39	41	155	98
ENSMUSG00000000148	15	20	18	16	10	7	19	11	16	18
ENSMUSG00000000149	15	15	16	16	10	9	16	14	24	23
ENSMUSG00000000154	106	102	108	118	111	112	106	109	86	112
ENSMUSG00000000157	20	22	22	18	14	11	20	16	23	23
ENSMUSG00000000159	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000000167	2	3	2	3	2	2	2	2	3	3
ENSMUSG00000000168	64	54	69	68	41	36	72	57	66	81
ENSMUSG00000000171	264	243	281	260	195	170	284	227	233	280
ENSMUSG00000000182	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000000183	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000184	190	150	180	289	99	137	402	180	233	283
ENSMUSG00000000194	67	59	71	83	53	49	87	58	76	84
ENSMUSG00000000197	1	0	0	1	0	1	0	1	1	1
ENSMUSG00000000202	1	1	1	1	1	1	1	1	2	2
ENSMUSG00000000204	105	89	108	589	543	298	738	597	792	704
ENSMUSG00000000214	1	1	1	1	1	1	1	1	1	1
ENSMUSG00000000215	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000216	1	2	3	9	2	2	6	6	15	12
ENSMUSG00000000223	1	1	1	1	1	1	1	1	1	1
ENSMUSG00000000244	2	1	1	21	3	2	4	6	2	5
ENSMUSG00000000247	1	1	0	1	0	0	1	0	0	1
ENSMUSG00000000248	2	1	1	19	2	3	7	3	10	7
ENSMUSG00000000253	52	47	56	48	34	29	36	33	30	40
ENSMUSG00000000263	0	0	1	0	0	0	1	0	1	1
ENSMUSG00000000266	37	24	28	50	23	24	52	33	42	53
ENSMUSG00000000275	111	91	114	249	136	135	196	190	238	232
ENSMUSG00000000276	11	9	10	15	6	6	9	7	11	11
ENSMUSG00000000278	25	16	17	34	14	17	24	20	28	32
ENSMUSG00000000282	20	18	18	23	11	11	25	16	31	27
ENSMUSG00000000290	5	1	2	40	3	3	11	8	29	14
ENSMUSG00000000295	15	17	16	13	13	13	15	14	18	19
ENSMUSG00000000296	3	3	3	2	2	1	2	2	6	3
ENSMUSG00000000301	5	6	5	5	5	5	6	4	3	6
ENSMUSG00000000303	1001	886	1068	1320	732	703	1321	1052	1425	1499
ENSMUSG00000000305	6	6	6	6	4	3	6	3	4	3
ENSMUSG00000000308	2260	2499	2959	1398	1181	1206	1722	1279	931	1552
ENSMUSG00000000317	1	1	1	1	1	1	1	1	1	1
ENSMUSG00000000318	1	0	1	1	1	0	1	1	1	1
ENSMUSG00000000320	1	1	1	1	1	1	1	5	15	18
ENSMUSG00000000325	10	12	11	10	9	8	9	10	15	14
