"","Mast Cells","Neutrophil Cells","Eosinophil Cells","B Cells Memory","B Cells Naive","Plasma Cells","T Cells CD8 Actived","T Cells CD8 Naive","T Cells CD8 Memory","M0 Macrophage","M1 Macrophage","M2 Macrophage","Treg Cells","T Cells CD4 Memory","T Cells CD4 Naive","T Cells CD4 Follicular","Th1 Cells","Th17 Cells","Th2 Cells","Monocyte","GammaDelta T Cells","NK Resting","NK Actived","DC Actived","DC Immature"
"GSM1576453_S0649F0002.CEL.gz",0,6.71915700421963,0,0,7.13217872887368,26.3752692802594,9.93994175949143,2.33160892774545,0,0,3.16841484343284,0,13.3430535055175,16.3335127641108,0.927090173717361,0,0,0,1.76862939711176,0,11.9611436155202,0,0,0,0
"GSM1576454_S0649F0006.CEL.gz",0,0,0,4.41905061837276,0,13.8649851196013,7.41082737876559,12.5066902001615,0,0,13.3100790266342,0,11.5744926218352,14.4377386559158,4.83341778838104,0,0,0,0,0,17.6427185903325,0,0,0,0
"GSM1576455_S0649F0012.CEL.gz",0,0,0,0,0,15.7100103155575,5.82831217386274,15.3537568015047,0,0,16.6654500054952,0,9.64138373684922,14.6802126662404,3.92162824719534,0,0,0,0,0,17.8881135638589,0.311132489435984,0,0,0
"GSM1576456_S0790F0007.CEL.gz",0,1.61356631260896,0,8.03147123224281,0,9.36581391249935,7.45210089208758,13.2955822221569,0,0,17.1761805943194,0,13.4417852400227,10.9076408934338,4.23953431089727,0,0,0,0,0,14.4763243897314,0,0,0,0
"GSM1576457_S0790F0010.CEL.gz",0,0,0,2.22862650785025,0,15.0509585750997,9.07316186219176,12.9676049544452,0,0,8.91424649711345,0,14.784608854119,14.491173198552,3.61563175488035,0,0,0,0,0,18.8739877957483,0,0,0,0
"GSM1576458_S0790F0011.CEL.gz",0,0,0,0,0,16.2852788012141,9.37010254256207,12.4271172626855,0,0,8.33284064669141,0,13.6827208359893,15.6719543129465,4.503684472002,0,0,0,0,0,19.7263011259093,0,0,0,0
"GSM1576459_S0649F0011.CEL.gz",0,1.88436062550063,0,3.50185467423361,0,15.5745359689189,13.6828839455919,5.38242481110912,0,0,4.53276680089926,0,13.066828660332,19.1371018371031,6.74994125051702,0,0,0,0.902975765997028,0,15.5843256597975,0,0,0,0
"GSM1576460_S0649F0016.CEL.gz",0,4.33267912541514,0,0.153686634710464,0,17.269956613585,11.2134499088647,8.83596632026074,0,0,11.4791628219473,0,12.1963810794888,17.8866278660378,2.33701592607697,0,0,0,1.93897475844682,0,12.3560989451662,0,0,0,0
"GSM1576461_S0649F0018.CEL.gz",0,0,0,6.29388794056899,0,11.5886338181026,8.64099591986951,13.7075018608085,0,0,14.5211934813594,0,14.9774406848059,13.6013872120506,1.23224980132535,0,0,0,0,0,15.4367092811092,0,0,0,0
"GSM1576462_S0790F0002.CEL.gz",0,0,0,0,0,13.1082682406969,15.4427870735045,7.71311001974475,0,0,5.92151339561582,0,16.4479365173018,16.5489989755966,6.13121192668197,0,0,0,2.00482389986864,0,16.681349950989,0,0,0,0
"GSM1576463_S0790F0003.CEL.gz",0,0,0,9.07103554449379,0,5.11693086631786,14.0521057440138,7.41855169147314,0,0,9.90699025441385,0,15.0255395477352,13.758617456299,8.56279686550175,0,0,0,2.22632369418449,0,14.8611083355671,0,0,0,0
"GSM1576464_S0790F0009.CEL.gz",0,0,0,4.97429030056241,0,7.47472275450433,15.7089786396403,5.96825663491309,0,0,5.75845835320596,0,16.842119556085,14.9437222341766,9.44577820244164,0,0,0,2.09324271548502,0,16.7904306089857,0,0,0,0
"GSM1576465_S0649F0001.CEL.gz",0,1.56072629849492,0,0,0,24.4129415346382,6.27317308006448,14.7650375242916,0,0,17.7975546300569,0,8.65902886641267,12.3786754541223,0,0,0,1.01113435268147,0,0,10.3117038860291,0,2.8300243732083,0,0
"GSM1576466_S0649F0013.CEL.gz",0,2.37388675543186,0,0,4.59548868202576,27.319557569379,3.58044582707151,13.1764415208861,0,0,13.1078757036773,0,5.16330172817357,6.49288104674785,0,0.755269911656104,0,3.09768559364675,0,0.563701015200542,5.43191105648063,0,5.75820475918726,8.58334883043575,0
"GSM1576467_S0649F0017.CEL.gz",0,0.497748600855222,0,0,0.27274131469866,19.2913377681553,8.25481388084316,11.9072599709824,0,0,18.9446188949836,0,9.36986730965682,13.6308367075607,0,0,0,2.25061652482268,0,0.220329782280367,10.716616901943,0,4.33965672931334,0.303555613904815,0
"GSM1576468_S0649F0004.CEL.gz",0,6.30296803469656,0,0,7.56434224472623,23.366643674293,9.51275203328414,6.73651474689964,0,0,4.96770220205162,0,7.4586425200367,17.8441463504892,0,0,0,0,0.754895304013152,0,9.79423200584157,0,0,5.69716088366819,0
"GSM1576469_S0649F0014.CEL.gz",0,4.42317625932047,0,0,9.25907476680479,40.5777663291167,4.51769559265885,8.68479745072917,0,0,11.4858992796878,0,3.56217025290291,7.6962871780661,0,0,0,0.681407670816527,0.0921833106860562,0,3.84399150227629,0,2.25077515982004,2.92477524711436,0
"GSM1576470_S0649F0015.CEL.gz",0,3.22024111298509,0,0,9.28031060665322,24.8041409561956,6.91934462271728,9.19485863203869,0,0,14.371129875435,0,5.242302346942,8.41943042119175,0,0,0,2.63785249393617,0,0.332751630612004,3.3224593155807,0,3.75798456127276,8.49719342443976,0
