"","Mast Cells","Neutrophil Cells","Eosinophil Cells","B Cells Memory","B Cells Naive","Plasma Cells","T Cells CD8 Actived","T Cells CD8 Naive","T Cells CD8 Memory","M0 Macrophage","M1 Macrophage","M2 Macrophage","Treg Cells","T Cells CD4 Memory","T Cells CD4 Naive","T Cells CD4 Follicular","Th1 Cells","Th17 Cells","Th2 Cells","Monocyte","GammaDelta T Cells","NK Resting","NK Actived","DC Actived","DC Immature"
"GSM1576453_S0649F0002.CEL.gz",4.0065,0,0,14.1328,0,32.0667,1.2811,4.1753,0,0,6.7756,1.4939,12.2479,6.0222,2.9603,0,0,0,0,4.4228,3.51,5.0853,0,0,1.8195
"GSM1576454_S0649F0006.CEL.gz",1.6898,0,0,20.1946,0,10.9899,0,7.9463,0,0.7782,9.2653,1.7228,11.5671,3.3584,3.147,2.7377,0,0,2.7667,5.6246,12.9528,1.2865,3.9723,0,0
"GSM1576455_S0649F0012.CEL.gz",1.1959,0,0,17.9926,0,7.0379,0,8.7185,0,9.9919,8.2387,0,6.5173,2.8988,3.5533,1.8014,1.2762,0,2.5425,6.098,13.939,8.1981,0,0,0
"GSM1576456_S0790F0007.CEL.gz",0.466,0,0,12.987,0,13.0843,1.1549,5.0841,0,6.7192,7.9679,3.0674,18.6213,0,6.6273,0,0,0,0,5.9173,8.0063,4.1746,3.9425,0,2.1799
"GSM1576457_S0790F0010.CEL.gz",0.4477,0,0,17.7559,0,15.2039,2.611,3.3642,0,2.512,12.0389,1.6692,18.4424,0,0.0181,1.215,0,0,0,6.3663,11.5983,0,6.7571,0,0
"GSM1576458_S0790F0011.CEL.gz",0.3474,0,0,9.9884,0,18.2909,0.1834,4.9158,0,8.6119,10.4484,0,7.6683,0.8718,3.6809,0,0,0.548,0.0244,10.2051,14.677,9.3082,0,0,0.2299
"GSM1576459_S0649F0011.CEL.gz",4.044,0,0,28.8305,0,22.7339,2.7639,1.7801,0,3.0272,4.4404,0,14.0006,5.7572,2.4311,0,0,0.9276,0,2.6169,2.3532,3.4322,0,0,0.8613
"GSM1576460_S0649F0016.CEL.gz",4.172,0,0,11.9803,6.487,26.4785,0,5.2102,0,5.0832,3.0913,0,12.6291,10.8791,0,0,0,1.3618,1.2493,5.7782,3.4014,2.1987,0,0,0
"GSM1576461_S0649F0018.CEL.gz",1.2542,0,0,2.5656,0,18.517,2.6063,3.9405,0,0,10.1582,8.5636,5.896,7.8423,5.8439,0,0,0.8651,0,6.9846,14.3244,9.7534,0,0,0.8848
"GSM1576462_S0790F0002.CEL.gz",4.0169,0,0,25.8257,0,15.7467,2.4217,4.8329,0,8.9065,5.3749,5.9267,13.8438,0.2328,0.9644,0,0,0,0,8.4842,0.6398,2.783,0,0,0
"GSM1576463_S0790F0003.CEL.gz",5.6718,0,0,20.1169,0,12.0909,0,6.6014,0,25.1254,5.5134,0,12.1527,0.5559,0,0,0,0.9005,0.5749,2.7689,0.9696,2.5882,0,0,4.3695
"GSM1576464_S0790F0009.CEL.gz",5.7235,0,0,21.8545,0,14.2454,5.0596,2.7639,0,14.3991,6.2902,0,16.1852,0,1.0116,0,0,1.6043,0,7.1353,1.5575,1.7987,0,0,0.3712
"GSM1576465_S0649F0001.CEL.gz",0.4451,3.9623,0,4.3034,0,30.1186,1.1373,3.0937,0,9.2264,8.9338,0,7.4867,5.3918,0,0,0,1.6298,0,7.6682,6.9168,4.6471,0,0,5.0388
"GSM1576466_S0649F0013.CEL.gz",0.5877,5.1762,0,0,4.7093,40.6441,1.274,6.6724,0,4.2208,8.4145,0,0,1.8239,0,3.8505,0,1.4244,1.9586,6.4341,2.4417,1.6446,1.5648,7.1582,0
"GSM1576467_S0649F0017.CEL.gz",0.9837,0.223,0,14.7368,0,23.4388,0,3.5485,0,0,12.2375,3.6936,8.1368,5.2938,4.1146,0,0,0,0.6428,11.7649,6.5673,0.1659,4.0256,0.4263,0
"GSM1576468_S0649F0004.CEL.gz",1.7405,0,0,11.8503,0,24.1442,3.3101,6.2594,0,18.1803,6.9656,0,8.5988,4.667,0,0.4189,0,0.2072,0.9586,4,1.7506,1.4942,0,5.4543,0
"GSM1576469_S0649F0014.CEL.gz",0.1962,3.0441,0,0,6.577,51.0294,1.9769,6.5541,0,0,8.9891,0.1294,2.682,3.5871,0,3.5158,0,0,2.0011,3.3468,0.4818,0.8706,2.6117,0.9313,1.4755
"GSM1576470_S0649F0015.CEL.gz",0,1.2711,0,0,5.5086,31.1877,7.8592,6.3358,0,0,16.8737,0.3494,3.478,2.4298,0.8512,2.1411,0,0,1.8969,7.5512,1.3254,0.9573,1.4877,8.496,0
"GSM1576471_S0649F0003.CEL.gz",0.2747,0,0,17.6553,0.8632,28.2751,2.3609,1.4557,2.836,0,9.0473,0,11.9811,5.0061,8.5421,0,0,0,0,4.6781,4.0273,0.4295,0.5988,0,1.9689
"GSM1576472_S0790F0004.CEL.gz",1.2047,0,0,19.9257,0,25.3555,0,6.1329,0,0,10.0317,4.0529,4.7607,0.9997,4.4135,1.5213,0.6473,0,2.6602,3.3325,9.5056,3.3169,1.6921,0,0.4468
"GSM1576473_S0790F0005.CEL.gz",1.0363,0,0,20.349,0,25.535,2.0957,5.5737,0,0,8.3453,2.7556,12.6642,1.1262,3.2906,2.1055,0,0,1.5658,3.5086,4.6642,2.913,0.6995,0,1.7717
"GSM1576474_S0790F0008.CEL.gz",1.3548,0,0,22.9224,0,14.5707,0,2.5425,0.2894,0,13.0786,5.2588,4.2726,1.9089,8.3875,2.4315,0.2292,0,3.4757,6.0215,10.9481,0.1522,2.1555,0,0
"GSM1576475_S0649F0005a.CEL.gz",1.4375,0.7275,0,4.9693,0,43.4856,0,10.1933,0,8.8775,5.6318,0,3.4184,0,2.1471,3.5056,0,0.1553,1.7853,0.5817,1.137,0,4.4745,7.4726,0
"GSM1576476_S0649F0007.CEL.gz",0.668,0.4222,0,6.6386,0,42.4386,0,9.9675,0,5.0884,8.4578,0,4.466,4.3992,0,2.5383,0,0,2.3107,1.5939,1.4674,0,4.389,5.1305,0.024
"GSM1576477_S0649F0010.CEL.gz",0.6295,0,0.0514,1.7598,0,43.3502,1.552,11.2504,0,7.3817,5.8302,0,6.0276,2.8275,0,1.6945,0,2.6205,0.4573,0,1.3028,0.5725,3.9114,8.7809,0
"GSM1576478_S0790F0001.CEL.gz",0.8909,0.478,0,12.9385,0,26.516,1.5653,12.9164,0,8.0444,10.7207,0,7.1133,0,0.3462,5.2647,0,0,1.2038,0,0.765,0.1576,4.0162,7.0631,0
"GSM1576479_S0790F0006.CEL.gz",1.9895,0.4921,0,5.2442,0,44.1489,1.2826,5.917,0,11.3702,2.9925,0,7.8584,0,1.9057,2.3638,0,0.1004,0.2444,3.6571,0.6919,3.3044,0,6.4369,0
