,AJC3-1_S1_LALL_R1_001.txt,AJC3-2_S2_LALL_R1_001.txt,AJC3-4_S3_LALL_R1_001.txt,AJC3-5_S4_LALL_R1_001.txt,AJC3-11_S10_LALL_R1_001.txt,AJC3-6_S5_LALL_R1_001.txt,AJC3-7_S6_LALL_R1_001.txt,AJC3-8_S7_LALL_R1_001.txt,AJC3-9_S8_LALL_R1_001.txt,AJC3-10_S9_LALL_R1_001.txt
ENSMUSG00000000001,261,174,357,241,157,39,45,28,40,29
ENSMUSG00000000003,2,4,2,4,3,6,6,6,6,4
ENSMUSG00000000028,20,19,18,14,9,11,11,11,12,9
ENSMUSG00000000031,13,16,38,15,1,2,2,2,2,2
ENSMUSG00000000037,19,22,14,24,19,32,35,31,32,22
ENSMUSG00000000049,8,12,7,12,9,22,20,23,23,17
ENSMUSG00000000056,45,39,43,32,33,10,11,9,13,8
ENSMUSG00000000058,23,22,28,26,25,6,6,4,5,5
ENSMUSG00000000078,189,174,267,202,278,32,45,22,38,24
ENSMUSG00000000085,208,154,276,215,143,67,59,57,69,50
ENSMUSG00000000088,27,19,22,17,29,8,9,6,7,5
ENSMUSG00000000093,6,6,3,4,3,3,4,4,4,3
ENSMUSG00000000094,5,8,5,7,4,8,9,10,10,8
ENSMUSG00000000103,1,1,0,1,0,1,1,1,1,1
ENSMUSG00000000120,5,5,3,4,3,6,5,6,7,5
ENSMUSG00000000125,9,8,6,8,4,12,12,13,15,10
ENSMUSG00000000126,4,5,4,5,3,9,8,9,10,7
ENSMUSG00000000127,213,186,252,205,169,122,114,105,114,84
ENSMUSG00000000131,152,124,146,122,103,55,48,43,53,37
ENSMUSG00000000134,17,14,17,15,12,6,6,6,7,6
ENSMUSG00000000142,169,48,176,152,14,11,11,10,12,9
ENSMUSG00000000148,7,7,6,6,5,5,5,4,5,4
ENSMUSG00000000149,64,56,56,55,38,27,27,25,31,21
ENSMUSG00000000154,24,22,17,16,21,13,14,12,14,11
ENSMUSG00000000157,3,4,3,5,4,7,7,7,9,6
ENSMUSG00000000159,1,1,1,1,1,0,0,1,1,0
ENSMUSG00000000167,6,5,6,7,4,4,4,4,4,3
ENSMUSG00000000168,55,45,65,50,65,19,16,13,19,14
ENSMUSG00000000171,131,105,120,81,130,19,33,13,17,13
ENSMUSG00000000182,2,4,4,4,2,5,5,5,6,4
ENSMUSG00000000183,2,2,1,2,2,5,4,4,5,4
ENSMUSG00000000184,299,214,386,274,197,58,35,29,37,26
ENSMUSG00000000194,77,66,68,60,65,30,28,23,30,21
ENSMUSG00000000197,29,52,30,66,51,94,98,103,103,78
ENSMUSG00000000202,2,1,2,2,1,2,2,2,2,2
ENSMUSG00000000204,204,134,229,155,101,28,25,15,43,29
ENSMUSG00000000214,5,7,4,6,3,11,9,10,12,9
ENSMUSG00000000215,8,12,8,14,11,22,23,23,25,19
ENSMUSG00000000216,14,13,12,12,11,14,14,13,15,11
ENSMUSG00000000223,13,14,9,12,10,19,18,18,19,16
ENSMUSG00000000244,10,8,6,10,7,5,4,6,6,5
ENSMUSG00000000247,3,5,3,5,4,8,9,10,9,7
ENSMUSG00000000248,8,11,6,12,9,18,18,18,21,15
ENSMUSG00000000253,25,17,19,21,15,20,17,18,20,13
ENSMUSG00000000263,14,19,11,18,13,36,34,40,41,30
ENSMUSG00000000266,174,133,225,187,150,61,59,50,65,42
ENSMUSG00000000275,72,69,75,57,68,23,24,12,23,16
ENSMUSG00000000276,29,21,31,23,20,12,14,14,15,10
ENSMUSG00000000278,25,26,23,19,22,14,14,12,15,12
ENSMUSG00000000282,11,10,13,11,8,5,6,5,5,4
ENSMUSG00000000290,28,25,23,19,21,12,12,12,16,12
ENSMUSG00000000295,18,15,21,16,11,7,7,7,6,5
ENSMUSG00000000296,21,28,24,30,20,41,40,40,42,30
ENSMUSG00000000301,15,15,10,15,10,23,19,23,25,19
ENSMUSG00000000303,798,664,765,603,710,149,109,78,127,74
ENSMUSG00000000305,63,77,52,73,54,139,133,147,165,114
ENSMUSG00000000308,764,748,302,268,1087,256,94,85,159,47
ENSMUSG00000000317,3,3,2,3,2,2,3,2,3,2
ENSMUSG00000000318,2,3,2,2,4,4,3,4,5,3
ENSMUSG00000000320,29,12,30,24,3,5,5,6,6,5
