"","B Cells","CD4 T Cells","CD8 T Cells","Dendritic Cells","Eosinophils","Macrophages","Mast Cells","Monocytes","Neutrophils","NK Cells"
"AJC3.1_S1_LALL_R1_001.txt",0,0,0,0,0,100,0,0,0,0
"AJC3.2_S2_LALL_R1_001.txt",2.87168880633526,0,0,0,0,97.1283111936647,0,0,0,0
"AJC3.4_S3_LALL_R1_001.txt",0,0,0,0,0,100,0,0,0,0
"AJC3.5_S4_LALL_R1_001.txt",0,0,0,0,0,100,0,0,0,0
"AJC3.11_S10_LALL_R1_001.txt",52.9460690121168,9.9277428236583,0,0,0,0,0,37.1261881642249,0,0
"AJC3.6_S5_LALL_R1_001.txt",0,0,0,0,0,0,0,100,0,0
"AJC3.7_S6_LALL_R1_001.txt",0,0,0,0,0,0,0,100,0,0
"AJC3.8_S7_LALL_R1_001.txt",0.169823710981137,0,0,0,0,0,0,99.8301762890189,0,0
"AJC3.9_S8_LALL_R1_001.txt",3.92357636273932,0,0,0,0,0,0,96.0764236372607,0,0
"AJC3.10_S9_LALL_R1_001.txt",5.88452849051917,0,0,0,0,0,0,94.1154715094808,0,0
